Shops enforce English face mask rules.,Shops don't enforce English face mask rules.
A cabinet minister has said shops must play a role.,No cabinet minister has said shops must play a role.
It's the only time that a government has been dismissed on the UK monarch's authority.,It's not the only time that a government has been dismissed on the UK monarch's authority.
The Queen was told in advance about the controversial sacking of Gough Whitlam.,The Queen was not told in advance about the controversial sacking of Gough Whitlam.
It shows Sir John decided to get rid of Mr Whitlam without seeking the Queen's consent.,It does not show Sir John decided to get rid of Mr Whitlam without seeking the Queen's consent.
Stone was convicted in 2019 of lying to Congress and witness tampering,Stone was not convicted in 2019 of lying to Congress and witness tampering
He had been due to report to a federal prison in Georgia on 14 July.,He had not been due to report to a federal prison in Georgia on 14 July.
I'm 67 years old.,I'm not 67 years old.
He was very kind.,He was not very kind.
It was a normal conversation.,It was not a normal conversation.
A presidential pardon would have removed Stone's criminal conviction.,A presidential pardon would not have removed Stone's criminal conviction.
The South China Sea has been a flashpoint for years.,The South China Sea has not been a flashpoint for years.
China has been increasingly assertive.,China has not been increasingly assertive.
"Then, the Covid-19 pandemic hit.","Then, the Covid-19 pandemic did not hit."
Criticism of China's handling of the outbreak has enraged China.,Criticism of China's handling of the outbreak has not enraged China.
A Chinese Coast Guard vessel rammed and sank a Vietnamese fishing vessel.,A Chinese Coast Guard vessel did not ram and sink a Vietnamese fishing vessel.
A Ryanair flight from Krakow to Dublin discovered a note in one of the toilets.,A Ryanair flight from Krakow to Dublin did not discover a note in one of the toilets.
The captain followed procedure.,The captain did not follow procedure.
Esses Police made a statement.,Esses Police did not make a statement.
We have safely brought off all the passengers from the plane.,We have not safely brought off all the passengers from the plane.